"region","city","lat","lng","total_2016","median_income","percent_pop_aian","percent_pop_change","percent_pop_poverty","comm_pcnt_initial","comm_age_change_1980_2016","subs_year","subs_percent_households_harvesting","subs_percent_households_using","subs_lbs_per_capita_harvest","pu_lbs_harvested","pu_lbs_per_capita","sport_license_per_capita"
"Yukon","Ruby",64.7394444,-155.4869444,214,25375,0.925233644859813,0.0862944162436548,0.369158878504673,-0.571428571428571,21,NA,NA,NA,NA,NA,NA,0.214953271028037
"Yukon","Russian Mission",61.785,-161.3202778,401,35000,0.892768079800499,1.37278106508876,0.374064837905237,0.125,7.5,2011,84.78,95.65,110.4148,NA,NA,0.246882793017456
"Alaska Peninsula and Aleutian Islands","Saint George",56.6,-169.5416667,74,56250,0.891891891891892,-0.531645569620253,0.121621621621622,NA,NA,1994,47.2,75,3.18,8.39,0.113378378378378,NA
"Yukon","Saint Marys",62.0530556,-163.1658333,521,43125,0.938579654510557,0.363874345549738,0.236084452975048,NA,NA,NA,NA,NA,NA,NA,NA,0.596928982725528
"Norton Sound","Saint Michael",63.4780556,-162.0391667,446,34750,0.982062780269058,0.866108786610879,0.36322869955157,4,21,2006,52.7,87.2,85.6149,40.62,0.0910762331838565,0.109865470852018
"Alaska Peninsula and Aleutian Islands","Saint Paul",57.1222222,-170.275,525,60000,0.798095238095238,-0.0471869328493648,0.116190476190476,NA,NA,1994,8.3,52.4,3.06,NA,NA,0.0114285714285714
"Cook Inlet","Salamatof",60.615375,-151.3194369,1074,57250,0.280260707635009,2.21556886227545,0.119180633147114,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yukon","Salcha",NA,NA,1068,77917,0.0131086142322097,2.34796238244514,0.099250936329588,8,NA,NA,NA,NA,NA,3130.31,2.93100187265918,0.370786516853933
"Alaska Peninsula and Aleutian Islands","Sand Point",55.3397222,-160.4972222,1248,65764,0.456730769230769,0.9968,0.177083333333333,-0.162162162162162,18,1992,72.1,99,137.47,40.62,0.0325480769230769,0.175480769230769
"Norton Sound","Savoonga",63.6941667,-170.4788889,932,34653,0.976394849785408,0.89816700610998,0.471030042918455,NA,NA,NA,NA,NA,NA,NA,NA,0.046137339055794
"Southeast","Saxman",55.3183333,-131.5958333,422,47000,0.796208530805687,0.545787545787546,0.125592417061611,NA,NA,1999,53.42466,90.41096,83.55069,3795.64,8.99440758293839,NA
"Yukon","Scammon Bay",61.8427778,-165.5816667,521,31875,0.994241842610365,1.084,0.428023032629559,-0.210526315789474,12.5,2013,66.3,97.7,85.40472,NA,NA,0.197696737044146
"Kotzebue","Selawik",66.6038889,-160.0069444,807,39063,0.990086741016109,1.23545706371191,0.392812887236679,1,5,2011,14.2,62.7,7.564653,0,0,0.102850061957869
"Cook Inlet","Seldovia",59.4380556,-151.7113889,247,43889,0.178137651821862,-0.484342379958246,0.0566801619433198,0.0606060606060606,14.5,2014,64.2,93.7,47.48528,201.39,0.815344129554656,0.805668016194332
"Cook Inlet","Seldovia Village",59.4780556,-151.6519444,175,61094,0.337142857142857,NA,0.102857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cook Inlet","Seward",60.1041667,-149.4422222,2714,70000,0.184229918938836,0.472599023331525,0.0578481945467944,-0.25,10,2000,56.7,86.5,46.4,6457.49,2.37932571849668,0.683124539425203
"Yukon","Shageluk",62.6822222,-159.5619444,59,NA,0.847457627118644,-0.549618320610687,0.271186440677966,NA,NA,2013,38.5,80.8,69.6096,NA,NA,0.389830508474576
"Norton Sound","Shaktoolik",64.3338889,-161.1538889,246,56250,0.967479674796748,0.5,0.158536585365854,0.08,4.5,NA,NA,NA,NA,NA,NA,0.154471544715447
"Kotzebue","Shishmaref",66.2566667,-166.0719444,539,30000,0.968460111317254,0.368020304568528,0.397031539888683,-0.5,17.5,2014,50,98.8,104.1716,50.31,0.0933395176252319,0.126159554730983
"Kotzebue","Shungnak",66.8880556,-157.1363889,290,40833,0.858620689655172,0.435643564356436,0.248275862068966,-1,NA,2012,39.1,86.9,56.16397,NA,NA,0.0551724137931034
"Copper River","Silver Springs",NA,NA,172,83750,0.063953488372093,NA,0.11046511627907,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeast","Sitka",57.0530556,-135.33,8921,70160,0.217800694989351,0.143278226323209,0.0892276650599709,1.32642487046632,6.5,2013,54.3,88,46.46178,427.98,0.0479744423270934,0.459926017262639
"Southeast","Skagway",59.4583333,-135.3138889,972,64412,0.0925925925925926,0.265625,0.0545267489711934,4,NA,1987,38.8,72.8,17.67,90.02,0.0926131687242798,0.254115226337449
"Cook Inlet","Skwentna",61.9902778,-151.3977778,51,52750,0,NA,0.254901960784314,-1,NA,2012,76.6,90,54.27455,120.58,2.3643137254902,1
"Copper River","Slana",62.7069444,-143.9611111,0,NA,NA,-1,NA,NA,NA,2010,56.4,83.8,95.73872,NA,NA,Inf
"Kuskokwim","Sleetmute",61.7025,-157.1697222,84,33750,0.857142857142857,-0.214953271028037,0.30952380952381,1,NA,2009,75,96.875,277.099,NA,NA,0.226190476190476
"Cook Inlet","Soldotna",60.4877778,-151.0583333,4471,67434,0.0724670096175352,0.927155172413793,0.0492059941847461,0.558139534883721,20.5,NA,NA,NA,NA,76695.65,17.1540259449788,1.58152538581973
"Bristol Bay","South Naknek",58.7155556,-156.9980556,55,31250,0.854545454545454,-0.620689655172414,0.127272727272727,-0.543478260869565,15,2007,80.95238,95.2381,200.8209,NA,NA,0.618181818181818
"Yukon","South Van Horn",NA,NA,566,65781,0.201413427561837,NA,0.282685512367491,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norton Sound","Stebbins",63.5222222,-162.2880556,513,38906,0.97270955165692,0.549848942598187,0.345029239766082,-0.5,4.5,2006,82.9,97.8,347.6962,NA,NA,0.0428849902534113
"Yukon","Steele Creek",NA,NA,6693,82943,0.111459734050501,NA,0.0351113103242193,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cook Inlet","Sterling",60.5372222,-150.7647222,5661,74227,0.0559971736442325,5.15995647442873,0.0973326267443915,5.25,10.5,NA,NA,NA,NA,19378.64,3.42318318318318,0.289348171701113
"Yukon","Stevens Village",66.0063889,-149.0908333,20,NA,1,-0.791666666666667,0.65,-0.666666666666667,15.5,2014,50,50,307.3076,NA,NA,0.25
"Kuskokwim","Stony River",61.7830556,-156.5880556,45,NA,1,-0.274193548387097,0.6,NA,NA,2009,58.33333,100,365.9875,NA,NA,0.0888888888888889
"Cook Inlet","Sunrise",60.8897222,-149.4211111,53,170263,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cook Inlet","Susitna",61.5436111,-150.5125,0,NA,NA,NA,NA,NA,NA,2012,72.7,100,44.31588,NA,NA,NA
"Cook Inlet","Susitna North",NA,NA,1332,45781,0.0923423423423423,NA,0.130630630630631,NA,NA,1985,53.3,66.7,21.67,NA,NA,NA
"Cook Inlet","Sutton-Alpine",NA,NA,1564,39063,0.235933503836317,NA,0.118925831202046,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kuskokwim","Takotna",62.9886111,-156.0641667,49,20625,0.510204081632653,0.0208333333333333,0.244897959183673,NA,NA,2011,14.29,42.86,1.376993,NA,NA,0.408163265306122
"Cook Inlet","Talkeetna",62.3238889,-150.1094444,844,59457,0.125592417061611,2.1969696969697,0.0438388625592417,1.33333333333333,31,2012,46,81.3,23.73306,5818.78,6.89428909952607,0.800947867298578
"Yukon","Tanacross",63.3852778,-143.3463889,164,19125,0.975609756097561,0.401709401709402,0.23780487804878,NA,NA,1987,22.2,85.2,38.61,NA,NA,0.152439024390244
"Cook Inlet","Tanaina",61.6269444,-149.4280556,9736,81109,0.108155299917831,NA,0.0747740345110929,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yukon","Tanana",65.1719444,-152.0788889,279,45313,0.885304659498208,-0.280927835051546,0.0501792114695341,-0.470588235294118,30,2014,31.8,84.8,691.6584,NA,NA,0.200716845878136
"Prince William Sound","Tatitlek",60.8647222,-146.6786111,132,NA,0.931818181818182,0.941176470588235,0,-1,NA,2014,70,90,101.7038,NA,NA,0.196969696969697
"Copper River","Tazlina",62.0588695,-145.4284212,322,61964,0.447204968944099,9.38709677419355,0.186335403726708,NA,NA,2013,70.8,92.4,102.1376,NA,NA,NA
"Norton Sound","Teller",65.2636111,-166.3608333,163,26875,1,-0.231132075471698,0.368098159509202,NA,NA,2006,77.7,98.1,199.7384,25.16,0.154355828220859,0.116564417177914
"Southeast","Tenakee Springs",57.7808333,-135.2188889,172,54375,0,0.246376811594203,0.0116279069767442,NA,NA,1987,48.3,77.4,49.34,NA,NA,0.25
"Yukon","Tetlin",63.1350512,-142.5238796,116,21250,0.78448275862069,0.0841121495327103,0.491379310344828,NA,NA,1987,4.8,24.8,2.48,NA,NA,NA
"Southeast","Thorne Bay",55.6877778,-132.5222222,625,62857,0.0224,0.953125,0.0896,7,16,1998,78.7,85.4,62.36,81.16,0.129856,0.504
